title,company,location,salary_min,salary_max,posting_date,description,category,contract_type
Procurement Analyst,Matchtech ,Winchester,40000.0,43000.0,14/03/2026,"A market-leading FMCG/distribution business require a Procurement Analyst. Applicants should have expertise in MS Excel, Power BI and ideally Microsoft Dynamics and experience analysing data, presenting insights and storytelling. The Procurement Analyst will be responsible for developing procurement systems, reports, dashboards and KPIs to optimise inventory/stock holdings, and drive effective procurement and commercial decision-making. The busi... ",,
Procurement Analyst,Matchtech ,Basingstoke,40000.0,43000.0,14/03/2026,"A market-leading FMCG/distribution business require a Procurement Analyst. Applicants should have expertise in MS Excel, Power BI and ideally Microsoft Dynamics and experience analysing data, presenting insights and storytelling. The Procurement Analyst will be responsible for developing procurement systems, reports, dashboards and KPIs to optimise inventory/stock holdings, and drive effective procurement and commercial decision-making. The busi... ",,
Sales Analyst,Dennis and Robinson T/A Paula Rosa Manhattan,BN158UH,,,13/03/2026,"We are seeking a Sales Analyst to support data-driven decision-making across our sales function. The role combines detailed analysis with the ability to communicate findings clearly and persuasively. Working closely with Sales, Design, Commercial, Finance, and Operations, the Sales Analyst will present insight that helps guide sales strategy and improve pipeline quality. A key element of the role is the ability to create a coherent story from da... ",,
Business Analyst,Team Energy,MK58PJ,45000.0,50000.0,30/03/2026,"This is a fantastic opportunity for an enthusiastic and capable Business Analyst to take step up and play a key role in the development of our products. As a Business Analyst, you will work closely with customers and internal teams to translate business needs into well-defined, technically sound solutions that deliver tangible business benefit. You will analyse customer and business requirements, translate them into clear and actionable outcomes... ",,
Data Centre Engineer,Custodian Data Centres,Dartford,25750.0,30000.0,20/04/2026,"This is a permanent shift-based role on a 4-on 4-off basis (including nights and weekends), 12 hours per each shift. You will be required to work out of both Maidstone and Dartford sites, so the ability to get to both sites is essential. About Us Custodian Data Centres is an award-winning innovative Data Centre, Network and Cloud services provider based in Maidstone and Dartford, Kent. We are seeking a Data Centre Engineer to join our forever gr... ",,
Head of Data,ICAEW,Milton Keynes,110000.0,125000.0,26/03/2026,"Head of Data Milton Keynes Hybrid Permanent Full time - 35 hours 110,000 - 125,000 Join the ICAEW At ICAEW, you'll be part of an organisation that's shaping the future of business, finance and the accountancy profession on a global scale. Our bold 2030 Strategy puts members, innovation, sustainability and trust at the heart of everything we do-creating an exciting, forward-looking environment where your work has real impact. We invest in our peo... ",,
Business Analyst,FDM Group,Edinburgh,40000.0,50000.0,21/04/2026,About The Role FDM is a global business and technology consultancy seeking a Business Analyst to work for our client within the financial services sector. This is initially a 5 month contract with the potential to extend and will be a hybrid role that will be based in Edinburgh. Our client is seeking someone with 3-5 years’ experience in a BA role with a focus on data analysis to support two key deliverables (50/50 split): enhancements to monthl... ,,
Intelligence Analyst,Vermelo RPO,M43AQ,,,25/03/2026,"Intelligence Analyst Location: Manchester/Stoke/Peterborough/Tunbridge Wells&nbsp; About the Role We’re looking for a sharp, analytical Intelligence Analyst to join our Counter Fraud Department. In this role, you’ll support investigations into complex and emerging fraud threats, gather intelligence from multiple sources, and turn insights into actionable outcomes that strengthen our fraud prevention framework. You’ll play a key part in identifyi... ",,
Finance Analyst,Matchtech ,Chertsey,50000.0,50000.0,31/03/2026,"Finance Analyst - Chertsey We are looking for a proactive Finance Analyst to support the financial management of our Client's project portfolio. This role will deliver accurate analysis, improve budgeting and forecasting processes, and provide key financial insight to support strategic decision-making. Key Responsibilities Lead the preparation and consolidation of annual budgets and monthly project forecasts Partner with project leads to build s... ",,
Business Analyst,FDM Group,London,70000.0,80000.0,19/03/2026,"FDM is a global business and technology consultancy seeking a highly capable Technical Business Analyst to work for our client to support the design, specification, and delivery of API and integration capabilities across the organisation. This is initially a 12-month contract with strong prospects for extension and will be hybrid role based in London or York . The Business Analyst will play a key role in defining end-to-end API flows, standardis... ",,
AI Technical Lead,Birketts LLP,IP11QJ,,,17/03/2026,"Please note this role can be based at any of our regional offices, including Ipswich, Norwich, Chelmsford and Cambridge. The team you will join The AI capability sits within Birketts’ Information Technology function, working closely with Product Development, Knowledge Management, Learning &amp; Development, Security and Risk &amp; Compliance. Delivery will be product-led and iterative, with a small cross-functional working group using matrixed r... ",,
Business Analyst,Sagacity ,London,,,20/08/2025,"As a Business Analyst, you’ll play a key role in understanding what our clients need for each project or change initiative. You’ll work closely with the wider project team to make sure your deliverables are completed on time and aligned with what the client expects. This includes: Mapping the ‘As Is’ processes by interviewing SMEs, running workshops, and securing the necessary approvals Shaping the ‘To Be’ processes, again working with SMEs and ... ",,
Data Analyst (HESA) (Statutory Returns )(Maternity Cover),Gedu,London,,,01/04/2026,"Location:&nbsp; Greenford, West London (On-site) or Bow Road (On-site) Type of Contract:&nbsp; Fixed Term (6 months Maternity Cover) Working Pattern:&nbsp; Full-Time, 40hrs per week Salary Range: 34,500- 40,000pa Our Vision : Changing lives through education&nbsp; GBS is a higher education provider offering a range of sector-relevant courses across ten campuses in London, Birmingham, Leeds and Manchester. Working in partnership with several of t... ",,
QC Analyst,Smart4Sciences,Swindon,,,27/03/2026,"Smart4Sciences is supporting a leading organisation in recruiting a QC Scientist 1 to join their Quality Control team in Swindon.This onsite involves hands-on analytical testing to support product release, stability studies, and in-process validation. The Role Perform finished product QC release testing (balances, pH meter, UV, Karl Fischer, FT-IR, TLC, dissolution) Conduct stability and process validation testing following test plans Use LIMS f... ",,
